,Reporter,Partner,Trade_Indicator,CountryPair,L3
37,Afghanistan,Congo,0.0,C004C178,N03
38,Afghanistan,Congo (DRC),0.0,C004C180,N03
39,Afghanistan,Costa Rica,0.0,C004C188,N03
40,Afghanistan,Croatia,0.0,C004C191,N03
41,Afghanistan,Cuba,0.0,C004C192,N03
42,Afghanistan,Cyprus,0.0012,C004C196,N03
43,Afghanistan,Czech Republic,0.0001,C004C203,N03
44,Afghanistan,Benin,0.0,C004C204,N03
45,Afghanistan,Denmark,0.0677,C004C208,N03
46,Afghanistan,Dominican Republic,0.0,C004C214,N03
47,Afghanistan,Ecuador,0.0,C004C218,N03
48,Afghanistan,El Salvador,0.0,C004C222,N03
49,Afghanistan,Ethiopia,0.0,C004C231,N03
50,Afghanistan,Estonia,0.0,C004C233,N03
51,Afghanistan,Fiji,0.0,C004C242,N03
52,Afghanistan,Finland,0.0003,C004C246,N03
53,Afghanistan,France,0.006,C004C250,N03
54,Afghanistan,Gabon,0.0,C004C266,N03
55,Afghanistan,Georgia,0.0,C004C268,N03
56,Afghanistan,The Gambia,0.0,C004C270,N03
57,Afghanistan,Germany,0.0112,C004C276,N03
58,Afghanistan,Ghana,0.0,C004C288,N03
59,Afghanistan,Greece,0.0,C004C300,N03
60,Afghanistan,Grenada,0.0,C004C308,N03
61,Afghanistan,Guatemala,0.0,C004C320,N03
62,Afghanistan,Guinea,0.0,C004C324,N03
63,Afghanistan,Guyana,0.0,C004C328,N03
64,Afghanistan,Honduras,0.0,C004C340,N03
65,Afghanistan,"Hong Kong, China",0.0002,C004C344,N03
66,Afghanistan,Hungary,0.0002,C004C348,N03
67,Afghanistan,Iceland,0.0,C004C352,N03
68,Afghanistan,India,0.29250000000000004,C004C356,N03
69,Afghanistan,Indonesia,0.0117,C004C360,N03
70,Afghanistan,Iran,0.0404,C004C364,N03
71,Afghanistan,Ireland,0.0112,C004C372,N03
72,Afghanistan,Israel,0.0,C004C376,N03
73,Afghanistan,Italy,0.0017,C004C380,N03
74,Afghanistan,C̫te d'Ivoire,0.0,C004C384,N03
75,Afghanistan,Jamaica,0.0,C004C388,N03
76,Afghanistan,Japan,0.0,C004C392,N03
77,Afghanistan,Kazakhstan,0.00030000000000000003,C004C398,N03
78,Afghanistan,Jordan,0.0065,C004C400,N03
79,Afghanistan,Kenya,0.0174,C004C404,N03
80,Afghanistan,"Korea, Republic of",0.002,C004C410,N03
